pin_code,state,district,n_era5_cells,polygon_source,data_quality,hot_days_pct,warm_nights_pct,xhot_days_pct,heat_index_pct,hwdi_pct,trend_cdecade,hot_days_pct_norm,warm_nights_pct_norm,xhot_days_pct_norm,heat_index_pct_norm,hwdi_pct_norm,trend_cdecade_norm,heat_score,risk_level
605102,Tamil Nadu,Pondicherry,3,actual_polygon,medium,10.672733624776203,68.34426879882812,0.0156484494606653,15.88787078857422,6.427648544311523,-0.1475291550159454,19.4854,73.6496,0.0696,51.2732,53.9024,8.0619,46.76,Moderate
605103,Tamil Nadu,Villupuram,4,actual_polygon,high,19.20465660095215,64.37108612060547,0.0704394020140171,20.14893484115601,7.143990397453308,-0.189961202442646,35.0624,69.368,0.3135,65.0244,59.9127,3.0072,52.62,Moderate
605104,Tamil Nadu,Villupuram,6,voronoi_proxy,voronoi_proxy,0.3037830789883931,12.295358022054035,0.0,1.7119186719258626,0.4758589665095011,-0.0851186141371727,0.5546,13.2498,0.0,5.5247,3.9655,15.4964,5.03,Very Low
605105,Tamil Nadu,Pondicherry,4,actual_polygon,high,15.46142864227295,66.32052803039551,0.0489129833877086,18.226593017578125,6.97775149345398,-0.1676746439188718,28.2283,71.4687,0.2177,58.8207,58.5179,5.6621,50.57,Moderate
605106,Puducherry,Cuddalore,4,actual_polygon,high,11.685039043426514,67.97858238220215,0.0156502313911914,15.932682514190674,6.690214037895203,-0.1485180836170911,21.3336,73.2555,0.0697,51.4178,56.1054,7.9441,47.68,Moderate
605107,Puducherry,Pondicherry,3,actual_polygon,medium,14.388444900512695,67.1189448038737,0.036522552371025,18.495338439941406,6.750975767771403,-0.1642311712106069,26.2693,72.3291,0.1625,59.6879,56.6152,6.0723,50.18,Moderate
605108,Tamil Nadu,Villupuram,4,actual_polygon,high,19.93988513946533,64.62727928161621,0.1017291657626628,21.72336339950561,7.192994475364685,-0.1914414428174495,36.4047,69.6441,0.4527,70.1054,60.3239,2.8309,54.41,Moderate
605109,Tamil Nadu,Villupuram,2,actual_polygon,medium,9.504571437835692,68.1917839050293,0.0,15.80963897705078,5.761573553085327,-0.1490147933363914,17.3527,73.4853,0.0,51.0207,48.3139,7.8849,44.58,Low
605110,Puducherry,Cuddalore,2,actual_polygon,medium,3.2972205579280853,73.29510879516602,0.0,10.6469144821167,4.552661299705505,-0.073559571057558,6.0198,78.9847,0.0,34.3596,38.1709,16.8733,40.05,Low
605111,Tamil Nadu,Pondicherry,5,actual_polygon,high,3.2026049733161925,57.8711654663086,0.0,9.094858360290528,3.578031063079834,-0.0925443023443222,5.8471,62.3635,0.0,29.3508,29.9935,14.6118,31.39,Low
605201,Tamil Nadu,Villupuram,5,actual_polygon,high,20.38545684814453,60.24221572875977,0.1564402803778648,16.958869171142577,7.7332991600036625,-0.1704493284225464,37.2182,64.9186,0.6962,54.7295,64.8572,5.3315,51.75,Moderate
605202,Tamil Nadu,Villupuram,4,actual_polygon,high,20.09801387786865,60.26427364349365,0.1291050519794225,16.771153926849365,7.861505746841431,-0.1669526509940624,36.6934,64.9424,0.5746,54.1237,65.9328,5.7481,51.89,Moderate
605203,Tamil Nadu,Villupuram,4,actual_polygon,high,20.87641286849976,61.957871437072754,0.1545239742845296,19.35478997230529,7.636820673942566,-0.1772976741194725,38.1145,66.7674,0.6877,62.4616,64.0477,4.5157,53.88,Moderate
605301,Tamil Nadu,Villupuram,4,actual_polygon,high,21.341936111450195,62.86548805236816,0.1467229090631008,20.663244247436523,7.67192804813385,-0.1840070709586143,38.9644,67.7455,0.653,66.6842,64.3422,3.7165,55.16,Moderate
605302,Tamil Nadu,Villupuram,2,actual_polygon,medium,21.441596031188965,61.8251953125,0.1447713151574134,19.435030937194824,7.877129554748535,-0.1747458353638649,39.1464,66.6245,0.6443,62.7205,66.0639,4.8197,54.81,Moderate
605401,Tamil Nadu,Villupuram,2,actual_polygon,medium,21.606011390686035,63.26058006286621,0.1447819992899894,21.101301193237305,7.71687388420105,-0.1835026815533638,39.4466,68.1713,0.6443,68.0979,64.7193,3.7766,55.88,Moderate
