pin_code,state,district,raw_ltm_rainfall_mm,raw_cdd_p90_days,raw_deficit_freq_pct,raw_trend_mm_per_decade,trend_direction,trend_significant,mk_pval,data_source,nn_pincodes_used,nn_max_dist_km,pet_mm,aridity_index,chirps_ltm_mm,chirps_deficit_pct,chirps_monsoon_conc,chirps_trend_mm_yr,chirps_trend_pval,norm_aridity_index,norm_ltm_rainfall,norm_deficit_freq,norm_cdd_p90,norm_monsoon_conc,norm_trend,drought_score,risk_level
110025,Delhi,Budaun,777.4,76.9,19.32,37.92,Strong Wetting,False,0.0731,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,28.09,78.47,50.0,67.32,Very High
110026,Delhi,West,732.5,79.5,22.73,42.18,Strong Wetting,False,0.0823,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,30.12,78.47,50.0,67.63,Very High
110027,Delhi,West,713.0,87.4,23.86,41.07,Strong Wetting,False,0.0734,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,36.26,78.47,50.0,68.55,Very High
110028,Delhi,New Delhi,732.6,82.6,22.16,41.16,Strong Wetting,False,0.0748,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,32.53,78.47,50.0,67.99,Very High
110029,Delhi,South,768.8,82.4,22.73,44.13,Strong Wetting,False,0.0718,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,32.37,78.47,50.0,67.97,Very High
110030,Delhi,South,750.8,86.3,22.73,44.28,Strong Wetting,False,0.0727,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,35.41,78.47,50.0,68.42,Very High
110031,Delhi,East,784.7,73.9,22.73,40.65,Strong Wetting,False,0.1166,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,25.76,78.47,50.0,66.97,Very High
110032,Delhi,Shahdara,786.0,76.3,18.94,36.69,Strong Wetting,False,0.1517,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,27.63,78.47,50.0,67.25,Very High
110033,Delhi,North,742.2,76.5,21.56,43.02,Strong Wetting,False,0.0861,nearest_neighbour,"[110088, 110009, 110052]",3.1,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,27.78,78.47,50.0,67.28,Very High
110034,Delhi,North West,718.7,77.2,22.73,42.36,Strong Wetting,False,0.0857,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,28.33,78.47,50.0,67.36,Very High
110035,Delhi,North West,732.5,79.5,22.73,42.18,Strong Wetting,False,0.0823,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,30.12,78.47,50.0,67.63,Very High
110036,Delhi,North,731.8,79.3,20.45,37.8,Strong Wetting,False,0.1341,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,29.96,78.47,50.0,67.6,Very High
110037,Delhi,New Delhi,718.8,82.7,22.73,33.4,Strong Wetting,False,0.1444,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,32.61,78.47,50.0,68.0,Very High
110038,Delhi,New Delhi,721.9,83.9,23.48,37.62,Strong Wetting,False,0.1203,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,33.54,78.47,50.0,68.14,Very High
110039,Delhi,North,656.0,75.0,22.73,31.41,Strong Wetting,False,0.1948,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,26.61,78.47,50.0,67.1,Very High
110040,Delhi,North,690.2,77.3,20.45,30.69,Strong Wetting,False,0.2092,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,28.4,78.47,50.0,67.37,Very High
110041,Delhi,West,672.9,76.0,22.73,41.1,Strong Wetting,False,0.078,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,27.39,78.47,50.0,67.22,Very High
110042,Delhi,North,714.0,76.5,21.97,38.08,Strong Wetting,False,0.1408,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,27.78,78.47,50.0,67.28,Very High
110043,Delhi,South West,654.1,76.0,24.77,39.98,Strong Wetting,False,0.0879,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,27.39,78.47,50.0,67.22,Very High
110044,Delhi,South,766.7,78.7,18.75,40.14,Strong Wetting,False,0.0516,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,29.49,78.47,50.0,67.53,Very High
110045,Delhi,South West,711.9,83.1,22.73,34.39,Strong Wetting,False,0.132,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,32.92,78.47,50.0,68.05,Very High
110046,Delhi,New Delhi,712.3,85.2,22.73,35.9,Strong Wetting,False,0.1174,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,34.55,78.47,50.0,68.29,Very High
110047,Delhi,South,735.8,84.1,20.45,41.47,Strong Wetting,False,0.0926,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,33.7,78.47,50.0,68.16,Very High
110048,Delhi,South,769.4,79.2,21.21,40.7,Strong Wetting,False,0.0679,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,29.88,78.47,50.0,67.59,Very High
110049,Delhi,South,772.2,80.0,22.73,43.8,Strong Wetting,False,0.0618,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,30.51,78.47,50.0,67.69,Very High
110051,Delhi,East,784.1,73.6,21.59,36.71,Strong Wetting,False,0.1443,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,25.53,78.47,50.0,66.94,Very High
110052,Delhi,North,744.2,75.8,20.45,42.26,Strong Wetting,False,0.0893,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,27.24,78.47,50.0,67.2,Very High
110053,Delhi,North East,779.2,76.3,20.44,42.54,Strong Wetting,False,0.1134,nearest_neighbour,"[110054, 110090, 110032]",4.0,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,27.63,78.47,50.0,67.25,Very High
110054,Delhi,Central,781.1,75.2,22.73,48.71,Strong Wetting,False,0.0658,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,26.77,78.47,50.0,67.13,Very High
110055,Delhi,Central,784.1,75.9,22.73,48.37,Strong Wetting,False,0.0538,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,27.32,78.47,50.0,67.21,Very High
110056,Delhi,North West,712.5,83.0,25.0,41.73,Strong Wetting,False,0.0734,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,32.84,78.47,50.0,68.04,Very High
110057,Delhi,New Delhi,745.1,85.6,22.73,40.71,Strong Wetting,False,0.0839,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,34.86,78.47,50.0,68.34,Very High
110058,Delhi,West,707.6,87.4,22.73,39.08,Strong Wetting,False,0.0768,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,36.26,78.47,50.0,68.55,Very High
110059,Delhi,West,691.0,77.9,22.73,37.65,Strong Wetting,False,0.1066,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,28.87,78.47,50.0,67.44,Very High
110060,Delhi,Central,751.7,79.7,20.45,39.88,Strong Wetting,False,0.0613,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,30.27,78.47,50.0,67.65,Very High
110061,Delhi,New Delhi,699.8,81.9,23.86,30.35,Strong Wetting,False,0.1595,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,31.98,78.47,50.0,67.91,Very High
110062,Delhi,South,766.4,78.8,19.89,39.94,Strong Wetting,False,0.0578,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,29.57,78.47,50.0,67.55,Very High
110063,Delhi,West,706.2,78.5,23.86,42.82,Strong Wetting,False,0.0718,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,29.34,78.47,50.0,67.51,Very High
110064,Delhi,West,713.6,91.7,22.73,40.41,Strong Wetting,False,0.0734,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,39.61,78.47,50.0,69.05,Very High
110065,Delhi,South,779.4,78.7,21.59,41.17,Strong Wetting,False,0.0807,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,29.49,78.47,50.0,67.53,Very High
110066,Delhi,New Delhi,758.3,84.8,22.73,44.2,Strong Wetting,False,0.0734,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,34.24,78.47,50.0,68.25,Very High
110067,Delhi,New Delhi,757.0,87.7,22.73,43.6,Strong Wetting,False,0.0674,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,36.5,78.47,50.0,68.59,Very High
110068,Delhi,South,762.2,83.9,21.02,43.68,Strong Wetting,False,0.0612,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,33.54,78.47,50.0,68.14,Very High
110069,Delhi,New Delhi,782.4,77.1,20.45,48.2,Strong Wetting,True,0.0463,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,28.25,78.47,50.0,67.35,Very High
110070,Delhi,New Delhi,740.2,85.5,22.73,41.77,Strong Wetting,False,0.0892,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,34.79,78.47,50.0,68.33,Very High
110071,Delhi,South West,670.6,77.8,26.14,35.68,Strong Wetting,False,0.1213,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,28.79,78.47,50.0,67.43,Very High
110072,Delhi,South West,641.0,75.3,24.09,43.0,Strong Wetting,False,0.0705,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,26.85,78.47,50.0,67.14,Very High
110073,Delhi,South West,624.2,77.2,25.51,36.96,Strong Wetting,False,0.0902,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,28.33,78.47,50.0,67.36,Very High
110074,Delhi,South,751.9,82.3,19.03,40.29,Strong Wetting,False,0.0634,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,32.3,78.47,50.0,67.95,Very High
110075,Delhi,South West,690.3,80.4,23.3,33.53,Strong Wetting,False,0.1299,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,30.82,78.47,50.0,67.73,Very High
