pin_code,state,district,flood_hazard_pct,flood_occurrence_pct,twi_pct,water_prox_pct,rainfall_score,flood_trend_raw,flood_hazard_pct_norm,flood_occurrence_pct_norm,twi_pct_norm,water_prox_pct_norm,rainfall_score_norm,flood_trend_norm,method,flood_score,flood_risk_level,weight_scheme,is_coastal,coastal_adjustment,flood_score_raw
758045,Odisha,Kendujhar,16.0,1.0,66.0,100.0,19.96,0.1174865122183433,66.96,82.43,51.2,100.0,19.96,0.19,polygon,48.13,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,48.13
758046,Odisha,Kendujhar,7.0,0.0,66.0,100.0,20.15,0.0805759511776485,56.21,38.61,51.2,100.0,20.15,0.13,polygon,39.958,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,39.958
758047,Odisha,Kendujhar,6.0,0.0,66.0,100.0,21.17,0.065833801235261,54.23,38.61,51.2,100.0,21.17,0.11,polygon,39.809,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,39.809
758076,Odisha,Kendujhar,1.0,1.0,66.0,87.0,16.77,0.0538840786745875,35.89,82.43,51.2,87.0,16.77,0.09,polygon,41.016000000000005,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,41.016000000000005
758078,Odisha,Kendujhar,29.0,16.0,65.0,100.0,24.53,0.0939011816956142,74.87,98.11,42.48,100.0,24.53,0.15,polygon,51.036,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,51.036
758079,Odisha,Kendujhar,0.0,0.0,66.0,99.0,17.71,0.0791356272910015,15.94,38.61,51.2,99.0,17.71,0.13,polygon,33.4015,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,33.4015
758080,Odisha,Kendujhar,1.0,0.0,66.0,96.0,25.28,0.0746547402565488,35.89,38.61,51.2,96.0,25.28,0.12,polygon,37.077,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,37.077
758081,Odisha,Kendujhar,4.0,0.0,65.0,100.0,24.14,0.0346474470302188,49.31,38.61,42.48,100.0,24.14,0.06,polygon,38.196000000000005,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,38.196000000000005
758082,Odisha,Kendujhar,0.0,0.0,66.0,94.0,21.61,0.0086521168521849,15.94,38.61,51.2,94.0,21.61,0.01,polygon,33.2065,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,33.2065
758083,Odisha,Kendujhar,31.0,0.0,64.0,100.0,23.04,0.0510965408094053,75.79,38.61,35.03,100.0,23.04,0.08,polygon,40.89050000000001,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,40.89050000000001
758084,Odisha,Kendujhar,0.0,0.0,66.0,100.0,19.85,0.0539501505734606,15.94,38.61,51.2,100.0,19.85,0.09,polygon,33.862500000000004,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,33.862500000000004
758085,Odisha,Kendujhar,0.0,0.0,66.0,86.0,18.83,0.0107303786708588,15.94,38.61,51.2,86.0,18.83,0.02,polygon,31.592,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,31.592
758086,Odisha,Kendujhar,5.0,0.0,66.0,100.0,18.14,0.2365567542083807,51.98,38.61,51.2,100.0,18.14,0.38,polygon,39.084500000000006,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,39.084500000000006
758087,Odisha,Kendujhar,73.0,1.0,68.0,100.0,29.81,0.4299749657550423,88.56,82.43,79.28,100.0,29.81,0.7,polygon,57.187,Very High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,57.187
759001,Odisha,Dhenkanal,0.0,0.0,64.0,100.0,21.5,0.0690144845214427,15.94,38.61,35.03,100.0,21.5,0.11,polygon,31.6895,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,31.6895
759013,Odisha,Dhenkanal,9.0,1.0,64.0,100.0,21.94,0.5003525782282944,59.33,82.43,35.03,100.0,21.94,0.81,polygon,45.012,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,45.012
759014,Odisha,Dhenkanal,22.0,2.0,64.0,100.0,26.2,1.0700206419233416,71.47,89.36,35.03,100.0,26.2,1.74,polygon,48.744,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,48.744
759015,Odisha,Dhenkanal,0.0,0.0,64.0,100.0,22.52,0.0652445848969649,15.94,38.61,35.03,100.0,22.52,0.11,polygon,31.8425,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,31.8425
759016,Odisha,Dhenkanal,5.0,0.0,64.0,100.0,24.44,0.1794331406610776,51.98,38.61,35.03,100.0,24.44,0.29,polygon,37.5815,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,37.5815
759017,Odisha,Dhenkanal,32.0,2.0,64.0,100.0,21.29,0.5892857142857143,76.2,89.36,35.03,100.0,21.29,0.96,polygon,48.522,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,48.522
759018,Odisha,Dhenkanal,5.0,0.0,64.0,93.0,19.03,0.0518857641159799,51.98,38.61,35.03,93.0,19.03,0.08,polygon,35.667500000000004,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,35.667500000000004
759019,Odisha,Dhenkanal,11.0,2.0,64.0,100.0,19.9,0.2665828051671585,62.19,89.36,35.03,100.0,19.9,0.43,polygon,46.0795,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,46.0795
759020,Odisha,Dhenkanal,0.0,0.0,64.0,100.0,17.97,0.0347165991902834,15.94,38.61,35.03,100.0,17.97,0.06,polygon,31.1475,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,31.1475
759021,Odisha,Dhenkanal,0.0,0.0,64.0,100.0,22.91,0.314878892733564,15.94,38.61,35.03,100.0,22.91,0.51,polygon,32.001,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,32.001
759022,Odisha,Anugul,0.0,0.0,64.0,100.0,18.66,0.0238364466959156,15.94,38.61,35.03,100.0,18.66,0.04,polygon,31.246,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,31.246
759023,Odisha,Dhenkanal,31.0,3.0,64.0,100.0,24.41,1.317208233204472,75.79,91.98,35.03,100.0,24.41,2.14,polygon,49.6165,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,49.6165
759024,Odisha,Dhenkanal,32.0,1.0,64.0,100.0,20.28,0.356769055745165,76.2,82.43,35.03,100.0,20.28,0.58,polygon,47.236,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,47.236
759025,Odisha,Dhenkanal,1.0,0.0,64.0,100.0,20.34,0.0765222161272627,35.89,38.61,35.03,100.0,20.34,0.12,polygon,34.5105,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,34.5105
759026,Odisha,Dhenkanal,17.0,3.0,64.0,100.0,20.42,0.5740918781089328,67.77,91.98,35.03,100.0,20.42,0.93,polygon,47.5125,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,47.5125
759027,Odisha,Dhenkanal,2.0,0.0,64.0,100.0,23.13,0.0266582786143986,42.22,38.61,35.03,100.0,23.13,0.04,polygon,35.85849999999999,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,35.85849999999999
759028,Odisha,Dhenkanal,4.0,2.0,66.0,100.0,18.66,0.0813754951509356,49.31,89.36,51.2,100.0,18.66,0.13,polygon,46.312,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,46.312
759029,Odisha,Dhenkanal,1.0,0.0,65.0,100.0,15.62,0.0245968511864465,35.89,38.61,42.48,100.0,15.62,0.04,polygon,34.9,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,34.9
759037,Odisha,Anugul,15.0,3.0,66.0,100.0,17.02,1.278617710583153,66.15,91.98,51.2,100.0,17.02,2.07,polygon,49.47,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,49.47
759039,Odisha,Dhenkanal,7.0,0.0,65.0,100.0,20.19,0.1035735289030338,56.21,38.61,42.48,100.0,20.19,0.17,polygon,38.666,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,38.666
759040,Odisha,Anugul,5.0,0.0,64.0,100.0,17.96,0.0441585535465924,51.98,38.61,35.03,100.0,17.96,0.07,polygon,36.5545,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,36.5545
759100,Odisha,Anugul,19.0,5.0,66.0,100.0,17.02,1.319808058711453,69.42,94.52,51.2,100.0,17.02,2.14,polygon,50.359,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,50.359
759101,Odisha,Anugul,0.0,0.0,64.0,100.0,15.92,0.0597847748106815,15.94,38.61,35.03,100.0,15.92,0.1,polygon,30.85,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,30.85
759102,Odisha,Anugul,0.0,0.0,64.0,100.0,18.4,0.7964997964997965,15.94,38.61,35.03,100.0,18.4,1.29,polygon,31.519500000000004,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,31.519500000000004
